UCSC.style.name	UCSC_Genome_Name	Sequence.Name	NCBI_Genome_Name
chr1	hg19	1	hs37d5
chr2	hg19	2	hs37d5
chr3	hg19	3	hs37d5
chr4	hg19	4	hs37d5
chr5	hg19	5	hs37d5
chr6	hg19	6	hs37d5
chr7	hg19	7	hs37d5
chr8	hg19	8	hs37d5
chr9	hg19	9	hs37d5
chr10	hg19	10	hs37d5
chr11	hg19	11	hs37d5
chr12	hg19	12	hs37d5
chr13	hg19	13	hs37d5
chr14	hg19	14	hs37d5
chr15	hg19	15	hs37d5
chr16	hg19	16	hs37d5
chr17	hg19	17	hs37d5
chr18	hg19	18	hs37d5
chr19	hg19	19	hs37d5
chr20	hg19	20	hs37d5
chr21	hg19	21	hs37d5
chr22	hg19	22	hs37d5
chrX	hg19	X	hs37d5
chrY	hg19	Y	hs37d5
chrM	hg19	chrM	
chrMT	hg19	MT	
chr4_ctg9_hap1	hg19	HSCHR4_1_CTG9	
chr6_apd_hap1	hg19	HSCHR6_MHC_APD_CTG1	
chr6_cox_hap2	hg19	HSCHR6_MHC_COX_CTG1	
chr6_dbb_hap3	hg19	HSCHR6_MHC_DBB_CTG1	
chr6_mann_hap4	hg19	HSCHR6_MHC_MANN_CTG1	
chr6_mcf_hap5	hg19	HSCHR6_MHC_MCF_CTG1	
chr6_qbl_hap6	hg19	HSCHR6_MHC_QBL_CTG1	
chr6_ssto_hap7	hg19	HSCHR6_MHC_SSTO_CTG1	
chr17_ctg5_hap1	hg19	HSCHR17_1_CTG5	
chr1_gl000191_random	hg19	HSCHR1_RANDOM_CTG5	
chr1_gl000192_random	hg19	HSCHR1_RANDOM_CTG12	
chr4_gl000193_random	hg19	HSCHR4_RANDOM_CTG2	
chr4_gl000194_random	hg19	HSCHR4_RANDOM_CTG3	
chr7_gl000195_random	hg19	HSCHR7_RANDOM_CTG1	
chr8_gl000196_random	hg19	HSCHR8_RANDOM_CTG1	
chr8_gl000197_random	hg19	HSCHR8_RANDOM_CTG4	
chr9_gl000198_random	hg19	HSCHR9_RANDOM_CTG1	
chr9_gl000199_random	hg19	HSCHR9_RANDOM_CTG2	
chr9_gl000200_random	hg19	HSCHR9_RANDOM_CTG4	
chr9_gl000201_random	hg19	HSCHR9_RANDOM_CTG5	
chr11_gl000202_random	hg19	HSCHR11_RANDOM_CTG2	
chr17_gl000203_random	hg19	HSCHR17_RANDOM_CTG1	
chr17_gl000204_random	hg19	HSCHR17_RANDOM_CTG2	
chr17_gl000205_random	hg19	HSCHR17_RANDOM_CTG3	
chr17_gl000206_random	hg19	HSCHR17_RANDOM_CTG4	
chr18_gl000207_random	hg19	HSCHR18_RANDOM_CTG1	
chr19_gl000208_random	hg19	HSCHR19_RANDOM_CTG1	
chr19_gl000209_random	hg19	HSCHR19_RANDOM_CTG2	
chr21_gl000210_random	hg19	HSCHR21_RANDOM_CTG9	
chrUn_gl000211	hg19	HSCHRUN_RANDOM_CTG1	
chrUn_gl000212	hg19	HSCHRUN_RANDOM_CTG2	
chrUn_gl000213	hg19	HSCHRUN_RANDOM_CTG3	
chrUn_gl000214	hg19	HSCHRUN_RANDOM_CTG4	
chrUn_gl000215	hg19	HSCHRUN_RANDOM_CTG5	
chrUn_gl000216	hg19	HSCHRUN_RANDOM_CTG6	
chrUn_gl000217	hg19	HSCHRUN_RANDOM_CTG7	
chrUn_gl000218	hg19	HSCHRUN_RANDOM_CTG9	
chrUn_gl000219	hg19	HSCHRUN_RANDOM_CTG10	
chrUn_gl000220	hg19	HSCHRUN_RANDOM_CTG11	
chrUn_gl000221	hg19	HSCHRUN_RANDOM_CTG13	
chrUn_gl000222	hg19	HSCHRUN_RANDOM_CTG14	
chrUn_gl000223	hg19	HSCHRUN_RANDOM_CTG15	
chrUn_gl000224	hg19	HSCHRUN_RANDOM_CTG16	
chrUn_gl000225	hg19	HSCHRUN_RANDOM_CTG17	
chrUn_gl000226	hg19	HSCHRUN_RANDOM_CTG19	
chrUn_gl000227	hg19	HSCHRUN_RANDOM_CTG20	
chrUn_gl000228	hg19	HSCHRUN_RANDOM_CTG21	
chrUn_gl000229	hg19	HSCHRUN_RANDOM_CTG22	
chrUn_gl000230	hg19	HSCHRUN_RANDOM_CTG23	
chrUn_gl000231	hg19	HSCHRUN_RANDOM_CTG24	
chrUn_gl000232	hg19	HSCHRUN_RANDOM_CTG25	
chrUn_gl000233	hg19	HSCHRUN_RANDOM_CTG26	
chrUn_gl000234	hg19	HSCHRUN_RANDOM_CTG27	
chrUn_gl000235	hg19	HSCHRUN_RANDOM_CTG28	
chrUn_gl000236	hg19	HSCHRUN_RANDOM_CTG29	
chrUn_gl000237	hg19	HSCHRUN_RANDOM_CTG30	
chrUn_gl000238	hg19	HSCHRUN_RANDOM_CTG31	
chrUn_gl000239	hg19	HSCHRUN_RANDOM_CTG32	
chrUn_gl000240	hg19	HSCHRUN_RANDOM_CTG33	
chrUn_gl000241	hg19	HSCHRUN_RANDOM_CTG34	
chrUn_gl000242	hg19	HSCHRUN_RANDOM_CTG35	
chrUn_gl000243	hg19	HSCHRUN_RANDOM_CTG36	
chrUn_gl000244	hg19	HSCHRUN_RANDOM_CTG37	
chrUn_gl000245	hg19	HSCHRUN_RANDOM_CTG38	
chrUn_gl000246	hg19	HSCHRUN_RANDOM_CTG39	
chrUn_gl000247	hg19	HSCHRUN_RANDOM_CTG40	
chrUn_gl000248	hg19	HSCHRUN_RANDOM_CTG41	
chrUn_gl000249	hg19	HSCHRUN_RANDOM_CTG42	
chr1_gl383516_fix	hg19	HG999_1_PATCH	
chr1_gl383517_fix	hg19	HG999_2_PATCH	
chr1_gl949741_fix	hg19	HG989_PATCH	
chr1_jh636052_fix	hg19	HG1287_PATCH	
chr1_jh636053_fix	hg19	HG1292_PATCH	
chr1_jh636054_fix	hg19	HG1293_PATCH	
chr1_jh806573_fix	hg19	HG1471_PATCH	
chr1_jh806574_fix	hg19	HG1472_PATCH	
